09/10/2025,"-33.54","StepPay Repayment","+196.49"
09/10/2025,"-17.61","StepPay Repayment","+230.03"
09/10/2025,"-18.46","StepPay Repayment","+247.64"
09/10/2025,"-18.97","StepPay Repayment","+266.10"
09/10/2025,"-16.55","StepPay Repayment","+285.07"
09/10/2025,"-25.39","StepPay Repayment","+301.62"
09/10/2025,"-33.54","StepPay Repayment","+327.01"
09/10/2025,"+200.00","Transfer from xx9950 CommBank app","+360.55"
09/10/2025,"-45.59","Transfer To S RAJKUMAR PayID Phone from CommBank App Electricity and Gas bill share for Oc...","+160.55"
09/10/2025,"+200.00","Transfer from xx9950 CommBank app","+206.14"
09/10/2025,"-4.62","StepPay Repayment","+6.14"
09/10/2025,"-21.86","StepPay Repayment","+10.76"
09/10/2025,"-9.44","StepPay Repayment","+32.62"
08/10/2025,"-62.37","Direct Debit 062934 COMMSEC SECURITI COMMSEC","+42.06"
08/10/2025,"-37.71","CK UNDERWEAR AU SYDN SYDNEY NS AUS Card xx1147 Value Date: 05/10/2025","+104.43"
08/10/2025,"-15.05","At Thai Takeaway EASTGARDENS AUS Card xx1147 Value Date: 06/10/2025","+142.14"
08/10/2025,"-15.76","StepPay Repayment","+157.19"
07/10/2025,"-10.08","Just Coconut NSW CBD Sydney AU AUS Card xx1147 Value Date: 05/10/2025","+172.95"
02/10/2025,"-11.71","StepPay Repayment","+183.03"
02/10/2025,"-40.86","StepPay Repayment","+194.74"
02/10/2025,"-46.09","Direct Debit 000793 BUPA AUSTRALIA 355886070000044000","+235.60"
01/10/2025,"+191.52","Direct Credit 448907 TELUS Internatio 174458085-01/10/25","+281.69"
30/09/2025,"-7.55","StepPay Repayment","+90.17"
30/09/2025,"-22.57","StepPay Repayment","+97.72"
30/09/2025,"-67.13","StepPay Repayment","+120.29"
30/09/2025,"+102.45","Transfer from xx9950 CommBank app","+187.42"
30/09/2025,"-4.99","DD *DOORDASHDASHPASS MELBOURNE VI AUS Card xx1147 Value Date: 27/09/2025","+84.97"
30/09/2025,"-4.95","RING BASIC PLAN HAWTHORNE CA USA Card xx1147 AUD 4.95 Value Date: 28/09/2025","+89.96"
29/09/2025,"-31.66","Transfer To S RAJKUMAR PayID Phone from CommBank App Nbn bill - Vyshnavi","+94.91"
28/09/2025,"+80.00","Transfer from xx9950 CommBank app","+126.57"
27/09/2025,"-140.13","Afterpay afterpay.com AU AUS Card xx1147 Value Date: 25/09/2025","+46.57"
25/09/2025,"+150.00","Transfer from xx9950 CommBank app","+186.70"
24/09/2025,"-62.30","Direct Debit 062934 COMMSEC SECURITI COMMSEC","+36.70"
24/09/2025,"-37.52","StepPay Repayment","+99.00"
24/09/2025,"-118.75","StepPay Repayment","+136.52"
24/09/2025,"+200.00","Transfer from xx9950 CommBank app","+255.27"
24/09/2025,"-10.00","Department of Transpor MELBOURNE AUS Card xx1147 Value Date: 21/09/2025","+55.27"
24/09/2025,"-13.34","StepPay Repayment","+65.27"
24/09/2025,"-21.83","StepPay Repayment","+78.61"
23/09/2025,"-2.31","TRANSPORTFORNSW TAP SYDNEY AUS Card xx1147 Value Date: 20/09/2025","+100.44"
22/09/2025,"-982.55","Transfer To S RAJKUMAR PayID Phone from CommBank App Rent for September - Vyshnavi","+102.75"
22/09/2025,"+982.55","Transfer from xx9950 CommBank app Rent","+1085.30"
